Make/Model/Trim,Year,Mileage,Price,URL,4WD?,Notes
GX 460,2013,107000,28000,facebook.com/marketplace/item/694927751588390/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A927135a4-fe04-4139-8c32-75233fe11ac8,Yes,
GX 460,2011,111000,22000,https://www.carsforsale.com/vehicle/details/86037253,Yes,
GX 460,2013,106516,23499,https://www.carsforsale.com/vehicle/details/84835993,Yes,"Starfire Pearl, Black Interior"
GX 460,2016,95000,29995,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=620449655&allListingType=all-cars&maxPrice=31000&priceRange=&makeCodeList=LEXUS&modelCodeList=GX460&city=Atlanta&state=GA&zip=30338&location=&maxMileage=150000&searchRadius=0&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=derivedpriceASC&numRecords=25&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fcars-under-31000%2Flexus%2Fgx-460%2Fatlanta-ga-30338%3Fdma%3D%26maxMileage%3D150000%26searchRadius%3D0%26priceRange%3D%26location%3D%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3DderivedpriceASC%26numRecords%3D25&clickType=spotlight,Yes,
GX 460,2013,99656,24980,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=640244192&allListingType=all-cars&maxPrice=31000&priceRange=&makeCodeList=LEXUS&modelCodeList=GX460&city=Atlanta&state=GA&zip=30338&location=&maxMileage=100000&searchRadius=0&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=derivedpriceASC&numRecords=25&requestId=1819194850&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fcars-under-31000%2Flexus%2Fgx-460%2Fatlanta-ga-30338%3Fdma%3D%26maxMileage%3D100000%26searchRadius%3D0%26priceRange%3D%26location%3D%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3DderivedpriceASC%26numRecords%3D25%26requestId%3D1819194850&clickType=listing,Yes,
GX 460,2013,80000,24995,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=648163244&allListingType=all-cars&maxPrice=31000&priceRange=&makeCodeList=LEXUS&modelCodeList=GX460&city=Atlanta&state=GA&zip=30338&location=&maxMileage=100000&searchRadius=0&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=derivedpriceASC&numRecords=25&requestId=1819194850&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fcars-under-31000%2Flexus%2Fgx-460%2Fatlanta-ga-30338%3Fdma%3D%26maxMileage%3D100000%26searchRadius%3D0%26priceRange%3D%26location%3D%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3DderivedpriceASC%26numRecords%3D25%26requestId%3D1819194850&clickType=listing,Yes,Black
GX 460,2014,100082,28900,https://www.carsforsale.com/vehicle/details/84911733,Yes,"New Body Style, Silver"
GX 460,2015,118000,27500,https://www.carsforsale.com/vehicle/details/84158796,Yes,New Body Style
GX 460,2014,114000,28000,https://www.carsforsale.com/vehicle/details/85278153,Yes,New Body Style
GX 460,2014,103000,28689,https://www.carsforsale.com/vehicle/details/82792336,Yes,New Body Style
GX 460,2014,100000,28900,https://www.carsforsale.com/vehicle/details/84911733,Yes,New Body Style
GX 460,2016,107555,30950,https://www.carsforsale.com/vehicle/details/86134005,Yes,New Body Style
GX 460,2015,83000,30995,https://www.carsforsale.com/vehicle/details/77525871,Yes,New Body Style
GX 460 Premium,2010,85000,22950,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=646245635&allListingType=all-cars&maxPrice=31000&priceRange=&makeCodeList=LEXUS&modelCodeList=GX460&city=Atlanta&state=GA&zip=30338&location=&requestId=564749857&maxMileage=150000&searchRadius=0&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fcars-under-31000%2Flexus%2Fgx-460%2Fatlanta-ga-30338%3FrequestId%3D564749857%26dma%3D%26maxMileage%3D150000%26searchRadius%3D0%26location%3D%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25&clickType=spotlight,Yes,
GX 460,2010,123177,21495,https://www.carsforsale.com/vehicle/details/85067009,Yes,"Silver, Black Interior"
GX 460,2014,69800,30995,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=645711307&allListingType=all-cars&maxPrice=31000&priceRange=&makeCodeList=LEXUS&modelCodeList=GX460&city=Atlanta&state=GA&zip=30338&location=&requestId=564749857&maxMileage=150000&searchRadius=0&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fcars-under-31000%2Flexus%2Fgx-460%2Fatlanta-ga-30338%3FrequestId%3D564749857%26dma%3D%26maxMileage%3D150000%26searchRadius%3D0%26location%3D%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25&clickType=listing,Yes,New Body Style
GX 460,2014,83700,28900,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=607111140&allListingType=all-cars&maxPrice=31000&priceRange=&makeCodeList=LEXUS&modelCodeList=GX460&city=Atlanta&state=GA&zip=30338&location=&requestId=564749857&maxMileage=150000&searchRadius=0&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fcars-under-31000%2Flexus%2Fgx-460%2Fatlanta-ga-30338%3FrequestId%3D564749857%26dma%3D%26maxMileage%3D150000%26searchRadius%3D0%26location%3D%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25&clickType=listing,Yes,New Body Style
